,Date,Electricity_consumption,Wind_production,Solar_production,Price,Wind+Solar,Year,Month,Delta,Price_Delta
1545,2019-03-26,189.679,47.62900000000001,2.8629999999999987,,50.49200000000001,2019,3,139.18699999999998,
1546,2019-03-27,192.01300000000003,26.864999999999995,2.568,,29.433000000000003,2019,3,162.58000000000004,
1547,2019-03-28,188.066,12.825,2.632,,15.457,2019,3,172.609,
1548,2019-03-29,179.10799999999998,3.4170000000000003,4.244,,7.6610000000000005,2019,3,171.44699999999997,
1549,2019-03-30,153.06499999999997,2.1900000000000004,5.162000000000001,,7.352,2019,3,145.71299999999997,
1550,2019-03-31,140.35399999999998,12.571000000000002,5.304000000000001,,17.875,2019,3,122.47899999999998,
1551,2019-04-01,175.63700000000003,18.9,4.620999999999999,,23.521000000000004,2019,4,152.116,
1552,2019-04-02,177.78100000000003,34.738,5.092,,39.83000000000001,2019,4,137.95100000000002,
1553,2019-04-03,175.00300000000004,49.182,4.814000000000001,,53.996,2019,4,121.00700000000003,
1554,2019-04-04,175.935,55.466,4.292000000000002,,59.758,2019,4,116.17699999999999,
1555,2019-04-05,174.70699999999997,18.276,2.826,,21.102000000000004,2019,4,153.60499999999996,
1556,2019-04-06,147.53300000000004,7.978,4.042000000000002,,12.02,2019,4,135.51300000000003,
1557,2019-04-07,137.30300000000003,17.070999999999994,5.104,,22.174999999999994,2019,4,115.12800000000003,
1558,2019-04-08,173.86300000000003,17.043,3.18,,20.223000000000006,2019,4,153.64000000000001,
1559,2019-04-09,175.785,25.19,4.47,,29.66000000000001,2019,4,146.125,
1560,2019-04-10,175.48299999999998,26.355,2.426,,28.781,2019,4,146.70199999999997,
1561,2019-04-11,175.261,55.304,1.771,,57.075,2019,4,118.18599999999999,
1562,2019-04-12,175.29700000000003,54.236,2.491,,56.727,2019,4,118.57000000000002,
1563,2019-04-13,149.64499999999995,34.122,2.759,,36.88100000000001,2019,4,112.76399999999995,
1564,2019-04-14,139.73299999999998,15.677000000000005,1.518,,17.195,2019,4,122.53799999999998,
1565,2019-04-15,173.773,14.1,5.167999999999998,,19.268,2019,4,154.505,
1566,2019-04-16,174.64700000000002,5.321000000000001,5.9700000000000015,,11.291,2019,4,163.35600000000002,
1567,2019-04-17,171.395,15.723,5.162000000000001,,20.885,2019,4,150.51000000000002,
1568,2019-04-18,168.672,1.6780000000000002,5.405,,7.0829999999999975,2019,4,161.589,
1569,2019-04-19,165.24100000000004,9.287000000000004,6.712999999999999,,16.000000000000004,2019,4,149.24100000000004,
1570,2019-04-20,138.83800000000002,1.229,6.892,,8.121,2019,4,130.717,
1571,2019-04-21,128.349,3.1830000000000003,6.917999999999999,,10.101,2019,4,118.24799999999999,
1572,2019-04-22,131.717,22.343000000000004,6.655,,28.998,2019,4,102.71900000000001,
1573,2019-04-23,169.77700000000002,50.672,3.747,,54.41900000000002,2019,4,115.358,
1574,2019-04-24,164.70299999999997,56.404,5.857000000000001,,62.26100000000001,2019,4,102.44199999999996,
1575,2019-04-25,163.922,35.249,7.165,,42.414,2019,4,121.508,
1576,2019-04-26,167.52800000000005,44.383,5.023999999999999,,49.40700000000002,2019,4,118.12100000000004,
1577,2019-04-27,145.894,38.71199999999999,4.5859999999999985,,43.298,2019,4,102.596,
1578,2019-04-28,137.67099999999996,50.68899999999999,4.148999999999999,,54.838,2019,4,82.83299999999997,
1579,2019-04-29,172.20700000000005,44.264,2.31,,46.57400000000001,2019,4,125.63300000000004,
1580,2019-04-30,174.96900000000002,36.52800000000001,2.5580000000000003,,39.086,2019,4,135.88300000000004,
1581,2019-05-01,141.80200000000002,49.674,6.1110000000000015,,55.785,2019,5,86.01700000000002,
1582,2019-05-02,168.68100000000004,14.228000000000005,6.590999999999998,,20.819,2019,5,147.86200000000005,
1583,2019-05-03,173.44899999999996,21.039,3.2460000000000004,,24.285000000000004,2019,5,149.16399999999996,
1584,2019-05-04,149.576,8.083,2.6719999999999997,,10.755,2019,5,138.821,
1585,2019-05-05,146.03400000000005,62.794,1.838,,64.632,2019,5,81.40200000000004,
1586,2019-05-06,180.653,60.27499999999999,3.315,,63.59,2019,5,117.06299999999999,
